Benchmark,Device,Device Name,Key,Word,WordsPerBlock,Pattern Bits,AddHorizontalLayout,AddVerticalLayout,ContainsHorizontalLayout,ContainsVerticalLayout,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1,No,1,11,0.06044878845454547,6.30177883450722e-05,0.060429497458718055,5.4543628407652564e-05,16548209765.98626,12,0.060422740618387864
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2,No,1,11,0.060563619090909106,0.004311061506792458,0.06054521040482954,0.004302653231776271,16516583117.20447,12,0.06042248407999675
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,4,No,1,11,0.06090889927272727,0.005122222832476856,0.06089039160988547,0.005106235307901464,16422952350.295795,12,0.06053589407602947
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,8,No,1,11,0.06092641045454546,0.005096195663552031,0.06090798603404653,0.005088033798032784,16418208269.782833,12,0.060914089202880856
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,16,No,1,11,0.06112941072727274,7.456066682661094e-05,0.061108875621448865,3.2044761785870685e-05,16364234979.460262,12,0.06108031972249348
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,32,No,1,11,0.06262797527272729,0.0012060811137619705,0.06260912843184036,0.0012011713464628187,15972111815.749895,12,0.062463488260904955
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,64,No,0.9999972581863403,11,0.1269580831818182,0.01506600214758336,0.1269418348832564,0.015054987114910627,7877623644.873751,12,0.12590711593627932
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,128,No,0.9953603744506836,11,0.16239513936363636,0.010189559046694387,0.16237875366210938,0.010186950749881993,6158441159.616729,12,0.1616471036275228
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,256,No,0.8243447542190552,11,0.17932059572727274,0.00879504635370702,0.17930500654740766,0.008792740806539977,5577089113.435342,12,0.178679807027181
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,512,No,0.2734166383743286,11,0.18767942963636364,0.008164224638653229,0.18766438432173294,0.008162661026533104,5328661608.404043,12,0.1870794232686361
