Benchmark,Device,Device Name,Key,Word,WordsPerBlock,Pattern Bits,AddHorizontalLayout,AddVerticalLayout,ContainsHorizontalLayout,ContainsVerticalLayout,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1024,No,0.02465631440281868,11,0.19185887190909098,0.008061577925884175,0.19184295654296876,0.00806123749414415,5212596897.0668,12,0.19127543385823567
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2048,No,0.0009168590186163783,11,0.19395968281818182,0.007909625633739512,0.19394476179643105,0.007907130783987353,5156107289.196206,12,0.19339579772949214
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1,No,1,11,0.07231770936363636,4.843390201268849e-05,0.07230063698508522,4.365811047140017e-05,13831136787.996603,12,0.07229619216918945
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2,No,1,11,0.07232073081818181,4.0752164940676025e-05,0.07230389404296873,3.2353029261163364e-05,13830513739.76788,12,0.07229926490783693
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,4,No,1,11,0.07241420981818182,0.0033931917867523094,0.07239763849431818,0.0033919956698176697,13812605228.532152,12,0.07230079968770345
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,8,No,1,11,0.07255940536363638,0.004682688779851336,0.07254286055131391,0.0046811942938063626,13784954058.885506,12,0.07230182456970215
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,16,No,1,11,0.07279644009090912,0.0056766848633303816,0.07277847151322799,0.005675166895790179,13740327039.133312,12,0.0723039576212565
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,32,No,1,11,0.07747244372727274,0.0015744606248056722,0.07745396423339844,0.001577175858575804,12910895005.794891,12,0.07720234743754069
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,64,No,0.9999971389770508,11,0.08100434054545456,0.003416573166534668,0.08098620605468751,0.0034057907048067244,12347781785.514566,12,0.08073736445109049
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,128,No,0.9953668713569641,11,0.08284033336363637,0.007643917562560912,0.08282195906205611,0.00763822538638055,12074092563.431501,12,0.08226355298360187
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,256,No,0.8243630528450012,11,0.08453577654545455,0.011634426760828067,0.08451872461492366,0.011632160226803209,11831697704.33838,12,0.08375714174906414
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,512,No,0.27341219782829285,11,0.08542064690909092,0.018034182082622138,0.08540243877064096,0.01803397952873076,11709267491.595015,12,0.08429798316955565
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1024,No,0.024653548374772072,11,0.085876808,0.0218249804438996,0.0858594207763672,0.0218203794792908,11646945564.711403,12,0.0846912841796875
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2048,No,0.000918109028134495,11,0.08254998618181818,6.238303489299671e-05,0.08253356170654298,6.722285505241268e-05,12116283113.475803,12,0.08251801745096843
