Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,HorizontalLayout,VerticalLayout,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,PatternBits,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,1,No,0.393433766,1,74,0.006816338689189189,0.018789116343308564,0.006788286711718584,0.0002746659430621175,147312575686.24866,77,0.006789040305397727
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,2,No,0.393446641,1,71,0.007104871014084507,0.0001695651449973014,0.007091808446696106,0.0001341431168500695,141007756697.92303,74,0.007088455612595016
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,4,No,0.393453315,1,70,0.007258889428571426,0.00020467131936737743,0.007245329366411484,0.00015771485006126605,138019950429.84317,72,0.0072415610419379346
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,8,No,0.393441574,1,69,0.007323286739130436,0.00016572560527319485,0.007310244159422058,0.00014957622153252638,136794336576.4488,71,0.007306719712808099
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,16,No,0.393442645,1,69,0.007363420289855074,0.00014935772599504257,0.007350334595942845,0.00013039410942454284,136048228410.16908,71,0.007343156841439261
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,32,No,0.393462448,1,52,0.009672847576923079,0.0001119800648489682,0.009659655350905199,8.564174603328643e-05,103523362239.44997,54,0.009647666648582177
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,64,No,0.393450627,1,31,0.016457699806451617,0.0002575996719426035,0.016444203284478955,0.00025223768816024785,60811702622.51994,32,0.016431156158447265
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,128,No,0.393470351,1,23,0.02207064339130435,0.0002034392402484475,0.022057487239008366,0.00019979239452368248,45336079724.96131,24,0.022047830025355025
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,256,No,0.393477503,1,20,0.025167647800000005,0.00012040272298381468,0.02515423851013184,0.00012348818752692885,39754731577.23345,21,0.02514447012401762
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,512,No,0.393462029,1,19,0.02675576684210526,0.00015554996575706042,0.026742381848787,0.0001465775879191137,37393826984.239204,20,0.02673047180175781
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,1024,No,0.393468507,1,19,0.027561599052631586,0.00014798114011600776,0.027548023625424033,0.00014315689675950134,36300244750.665215,20,0.027537554359436035
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,2048,No,0.393467879,1,18,0.02796626805555556,0.0001610467296228363,0.027952784008449985,0.00015650579802677547,35774611920.50513,19,0.027942781548751027
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,1,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,2,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,4,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,8,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,16,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,32,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,64,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,128,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,256,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,512,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,1024,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,2048,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,4,1000000000,1,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,4,1000000000,2,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,4,1000000000,4,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,4,1000000000,8,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,4,1000000000,16,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,4,1000000000,32,Yes,,,,,,,,,,
