Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,HorizontalLayout,VerticalLayout,NumInputs,FilterSizeMB,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,1,No,35,0.014396604714285714,0.00042176096058897823,0.014383518191746299,0.0003866475146532842,69524019552.72879,36,0.014386679755316841
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,2,No,35,0.014400273742857144,0.0003835320020360413,0.014387268475123815,0.0003837403952884382,69505896948.33606,36,0.014384146796332466
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,4,No,35,0.014401570399999999,0.0004099242084274412,0.014388331004551475,0.0003918466913651353,69500764173.66747,36,0.014382371690538194
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,8,No,35,0.014392991685714292,0.00044997757239006997,0.014379935155596052,0.0004397401222860025,69541342793.24918,36,0.014373494466145834
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,16,No,35,0.014330050228571431,0.00041013446405812465,0.014316910689217702,0.0004037847989252263,69847470708.40613,36,0.014309156629774306
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,32,No,35,0.014384374942857147,0.0002545863756202766,0.014371361814226422,0.00026435308632046303,69582828191.69478,36,0.014343636406792534
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,64,No,15,0.034601088733333334,0.0001432127169154211,0.034587895965576175,0.0001423923708108823,28911848266.088703,16,0.03457276654243469
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,128,No,11,0.04811013272727272,0.00014447403841358193,0.048096649169921867,0.00014404761398453762,20791469203.3342,12,0.048088171005249015
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,256,No,11,0.055641121,7.135193250398103e-05,0.055627706354314625,7.029697185967198e-05,17976653461.68704,12,0.0556221669514974
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,512,No,11,0.05998331090909092,8.002997239698039e-05,0.05996971026333895,8.004576197313435e-05,16675084732.088928,12,0.059961575508117676
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,1024,No,11,0.062528975,8.209709941802704e-05,0.06251543287797408,8.532602583444258e-05,15996050158.557371,12,0.06251237201690672
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,1,1000000000,2048,No,11,0.06413844636363639,5.430368136056077e-05,0.06412492509321732,5.799329661507818e-05,15594560126.913471,12,0.06412711715698242
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,8,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,16,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,32,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,64,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,128,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,256,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA H200,I64,U32,32,1,1,2,1000000000,512,Yes,,,,,,,,
