Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,HorizontalLayout,VerticalLayout,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,PatternBits,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,1024,No,0.393468507,1,11,0.06773587090909092,0.00013136153138006555,0.06772477306019174,0.00012974258127874174,14765645639.170029,12,0.06765525245666502
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,2,1,1,1000000000,1024,No,0.164227706,2,11,0.06773920836363637,9.402367151291743e-05,0.06772868693958631,9.438021995354187e-05,14764792367.700788,12,0.06765678850809732
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,3,1,1,1000000000,1024,No,0.078085263,3,11,0.06773827663636364,0.00010863874099301665,0.06772751062566584,0.0001038153962072509,14765048807.523167,12,0.06765585009256998
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,4,1,1,1000000000,1024,No,0.042817722,4,11,0.06773826472727272,7.87528811200909e-05,0.06772856972434303,7.584232659246176e-05,14764817920.56181,12,0.06765644645690917
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,5,1,1,1000000000,1024,No,0.026633896,5,11,0.06773754581818182,0.00012140251068498346,0.06772818617387251,0.00011843586050366028,14764901534.979683,12,0.0676543108622233
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,6,1,1,1000000000,1024,No,0.018380586,6,11,0.06773488227272728,7.38571463062966e-05,0.06772435136274858,6.733840098403395e-05,14765737580.028631,12,0.06765905062357584
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,7,1,1,1000000000,1024,No,0.013766786,7,11,0.06773661190909092,9.41181001885836e-05,0.0677255269830877,9.654644922760331e-05,14765481267.494873,12,0.06765858141581217
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,8,1,1,1000000000,1024,No,0.011009401,8,11,0.06773708763636364,8.527408668873502e-05,0.0677268357710405,8.780281123294876e-05,14765195931.796251,12,0.06765418243408201
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,9,1,1,1000000000,1024,No,0.009271107,9,11,0.06773634227272728,9.935618008602513e-05,0.0677255269830877,0.00010269053351777173,14765481267.494873,12,0.0676584103902181
pfp_bloom_filter_contains_pattern_bits,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,10,1,1,1000000000,1024,No,0.008132744,10,11,0.06774097672727274,0.0001011006318346061,0.06773056168989702,0.00010668377266812937,14764383685.144667,12,0.06765798505147298
