Benchmark,Device,Device Name,Key,Word,WordsPerBlock,Pattern Bits,AddHorizontalLayout,AddVerticalLayout,ContainsHorizontalLayout,ContainsVerticalLayout,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1,No,1,12,0.04358160158333333,3.121816183531003e-05,0.04356283760070801,1.6869931941692593e-05,22955345773.52113,13,0.04355993799062875
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2,No,1,12,0.043581188666666666,2.4910527189467144e-05,0.04356334940592449,1.830721545606967e-05,22955076082.005825,13,0.043560487307035003
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,4,No,1,12,0.04358328883333334,3.3381260528384664e-05,0.04356394704182943,2.341578382466519e-05,22954761170.74092,13,0.043559779533973116
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,8,No,1,12,0.043585104500000006,3.898585629140216e-05,0.0435660794576009,2.004955744157256e-05,22953637610.958626,13,0.04354465690025917
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,16,No,1,12,0.04358913166666667,3.612548482519301e-05,0.04357034683227539,2.2032913768513365e-05,22951389481.69297,13,0.043559385152963495
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,32,No,1,12,0.04410320025,0.0005580700435388763,0.044084480603535973,0.0005539563707517609,22683719674.35159,13,0.04402790363018329
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,64,No,0.9999972581863403,11,0.12636512490909094,0.0142949533073766,0.12634670465642756,0.014291101086144032,7914729574.619955,12,0.12537548828125
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,128,No,0.9953603744506836,11,0.16125195181818183,0.01011868203148947,0.16123727278275923,0.010118230379103128,6202039905.173389,12,0.16050560124715169
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,256,No,0.8243447542190552,11,0.17804653581818186,0.00833919890785873,0.17803096701882098,0.008337329984369686,5617000327.219941,12,0.1774021110534668
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,512,No,0.2734166383743286,11,0.1863600811818182,0.00796768669092482,0.18634537852894173,0.007960221471236546,5366379396.657201,12,0.18575786463419597
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1024,No,0.02465631440281868,11,0.1905043246363637,0.007760896685181669,0.19048941456187854,0.0077566402721294045,5249635536.441634,12,0.18992537434895837
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2048,No,0.0009168590186163783,11,0.19257794363636363,0.0076157979712075715,0.1925633877840909,0.007614146468090741,5193095175.087159,12,0.19198651758829752
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1,No,1,11,0.05036427381818182,0.0001000879040701411,0.05034784525090997,8.857552448760668e-05,19861823182.630173,12,0.05033813285827637
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2,No,1,11,0.05036121281818182,6.900277235358441e-05,0.0503455186323686,6.196307008249108e-05,19862741057.494457,12,0.050338134129842116
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,4,No,1,11,0.050361775545454554,4.735494873986473e-05,0.05034505358609286,4.2132381017853054e-05,19862924533.190613,12,0.05033796374003093
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,8,No,1,11,0.05036372227272727,5.0990533256346264e-05,0.05034756712480024,4.3961197492028856e-05,19861932901.76715,12,0.05033796246846517
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,16,No,1,11,0.050476841999999994,0.0014505934424164312,0.050460578571666366,0.001442955597111409,19817450142.387,12,0.05034018039703369
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,32,No,1,11,0.05552949054545456,0.012738958708944561,0.055512809059836646,0.012732161731253938,18013860529.41603,12,0.0546679474512736
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,64,No,0.9999971389770508,11,0.06595613509090908,0.03146931257184412,0.06593954883922232,0.03147917366964501,15165405551.048866,12,0.06397414334615072
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,128,No,0.9953668713569641,11,0.07421473054545456,0.038413964863236436,0.07419857441295277,0.03841680908334735,13477347885.88379,12,0.07186790466308594
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,256,No,0.8243630528450012,11,0.07874975536363636,0.041656996090505605,0.07873424321954901,0.04165753994795506,12700953982.773645,12,0.07635950978597005
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,512,No,0.27341219782829285,11,0.08098114945454547,0.03964492933889825,0.08096498038552023,0.03964613072671153,12351018863.197796,12,0.07874884351094563
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,1024,No,0.024653548374772072,11,0.08182794336363636,0.038647974587554805,0.08181275939941407,0.03864611192762325,12223032291.551846,12,0.07996202596028647
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,U32,8,8,8,1,8,1,UNIQUE,1000000000,2048,No,0.000918109028134495,11,0.08053097054545454,7.55628249390118e-05,0.08051544397527523,7.572426554548249e-05,12419977468.013231,12,0.0804973227183024
