Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,HorizontalLayout,VerticalLayout,NumInputs,FilterSizeMB,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,1,No,45,0.011359638977777777,0.00011452031295043557,0.01135002172258165,0.000102669504084942,88105558248.44203,46,0.011342802628226902
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,2,No,44,0.011419523795454545,0.00010074592180845486,0.011409718600186431,7.502823308370021e-05,87644580470.5175,46,0.011397698443868886
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,4,No,44,0.011457666522727278,9.560181982504705e-05,0.011447425430471246,5.7861884164947387e-05,87355886795.13538,46,0.011424699866253397
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,8,No,44,0.011487130181818182,9.917334437540336e-05,0.011478115038438276,7.274436134608379e-05,87122319008.92859,45,0.011437920464409723
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,16,No,44,0.011509154204545456,0.00011665700629972923,0.011499817393042823,9.227474030399742e-05,86957902531.9986,45,0.011444905598958334
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,32,No,44,0.011553490818181817,0.0001341865697220783,0.01154349602352489,9.867832189599607e-05,86628868582.10591,45,0.011449366590711805
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,64,No,24,0.02090132841666667,0.00017542910663909895,0.020890694777170815,0.00015825515965888658,47868202119.00238,25,0.020591289062499997
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,128,No,11,0.08398582072727273,0.00012788836504726075,0.08397414675625889,0.00012194630706845247,11908427041.272276,12,0.08385757764180501
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,256,No,11,0.1382468963636364,0.00019977991805638425,0.13823489518599075,0.0001994959666248279,7234063429.892511,12,0.1381934903462728
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,512,No,11,0.15732363281818185,0.0001757983638697629,0.1573138025457209,0.00017501660255770613,6356721303.646354,12,0.15729058329264323
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,1024,No,11,0.16536616654545455,0.00016280944531074697,0.16535468222878197,0.000163427747179555,6047606191.256301,12,0.16533324813842773
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,1,1000000000,2048,No,11,0.16891118663636365,0.00011799224190372336,0.16889913940429688,0.00011709813760355966,5920693281.960912,12,0.1688958320617676
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,8,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,16,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,32,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,64,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,128,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,256,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,512,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,1024,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,2,1000000000,2048,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,8,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,16,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,32,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,64,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,128,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,256,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,512,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,1024,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,4,1000000000,2048,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,8,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,8,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,8,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA RTX PRO 6000 Blackwell Server Edition,I64,U32,32,1,1,8,1000000000,8,Yes,,,,,,,,
