Benchmark,Device,Device Name,Key,Hash,Word,WordsPerBlock,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec),Pattern Bits
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,2,UNIQUE,1000000000,2000,No,0.9995129108428955,11,0.19263627345454545,0.007751640303422701,0.19262063598632811,0.007751558080735773,5191551750.825796,12,0.192057684580485,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,4,UNIQUE,1000000000,2000,No,0.3792368769645691,11,0.19366574154545457,0.00784532189974552,0.1936508719704368,0.007843178303492042,5163932337.741616,12,0.1931208534240723,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,8,UNIQUE,1000000000,2000,No,0.009448027238249779,11,0.19942959927272727,0.0076428829351820335,0.1994140403053977,0.007641950074653927,5014692037.072839,12,0.19893632125854496,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1,No,1,12,0.04436042091666667,6.318826326510353e-05,0.04434534358978271,5.8246571603405116e-05,22550281924.761154,13,0.04434298001802884,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2,No,1,12,0.04436230941666667,7.609229101666784e-05,0.04434645334879558,7.062424559978613e-05,22549717609.54046,13,0.0443441631610577,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,4,No,1,12,0.044361362083333335,4.9518000562034085e-05,0.04434525871276856,4.342882241902658e-05,22550325086.096855,13,0.04434471277090219,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,8,No,1,12,0.04436336350000001,8.184015515895462e-05,0.044347647666931146,8.126329050252301e-05,22549110327.34828,13,0.04434306042010968,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,16,No,1,12,0.04437493650000001,0.0005933163977548664,0.04435882631937663,0.0006014686991952636,22543427835.537304,13,0.04434337439903846,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,32,No,1,12,0.044917445916666666,0.00043197323532079225,0.0449018030166626,0.0004291316917294293,22270820608.894264,13,0.04481906127929688,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,64,No,0.9999973773956299,11,0.12693549972727272,0.013990609120178072,0.12691967912153765,0.01399030882278969,7878998803.979051,12,0.1259915936787923,
