Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,HorizontalLayout,VerticalLayout,NumInputs,FilterSizeMB,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,1,No,63,0.008073588492063492,0.00016828884881003926,0.008059150604974656,0.00014418172421383949,124082555223.96268,65,0.00805733642578125
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,2,No,60,0.00836512153333333,0.0001688797729171282,0.008350561618804934,0.00015058230192766832,119752424525.32338,63,0.008348785884796626
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,4,No,62,0.008131743790322579,0.00021694112890047483,0.008117302156263781,0.00020222609498686973,123193640048.04749,64,0.008114784240722657
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,8,No,63,0.008025630031746032,0.0003441559209515268,0.008010578882126581,0.00015897484363737715,124834923257.697,65,0.008006403996394231
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,16,No,63,0.008025998492063492,0.000146565065485877,0.008011578423636301,0.00012605845686323273,124819348588.00511,65,0.008005017089843748
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,32,No,63,0.008002320063492064,0.00014983780912198742,0.007987962291354225,0.0001434582204077616,125188372644.4666,65,0.007976139009915865
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,64,No,62,0.008106332403225804,0.0009265626955121583,0.008091717135521674,0.0009086818701863192,123583163283.1206,65,0.008065591195913461
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,128,No,22,0.023122886772727277,0.00012084722513111075,0.023106878540732644,0.00013006811102240246,43277156550.470764,23,0.023092669362607208
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,256,No,16,0.032983078,0.00018931316918769799,0.03296617960929871,0.00018388328882264131,30334118537.591537,17,0.03296111162971047
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,512,No,13,0.04009706307692308,0.00014682193657673684,0.04007995810875526,0.0001451183847558901,24950125878.039658,14,0.040076360430036276
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,1024,No,12,0.044051448666666666,0.00014106695751300052,0.04403456846872966,0.00013029235234521844,22709431130.456783,13,0.044036397200364334
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,1,1000000000,2048,No,11,0.046083585272727275,8.100850703961814e-05,0.04606604454734109,8.55826229892221e-05,21707963204.271236,12,0.04606771564483642
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,8,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,16,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,32,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,64,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,128,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,256,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,512,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,1024,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,2,1000000000,2048,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,8,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,16,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,32,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,64,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,128,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,256,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,512,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,1024,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,4,1000000000,2048,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,8,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,16,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,32,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,64,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,128,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,256,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,512,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,1024,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,1,8,1000000000,2048,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,1,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,2,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,4,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,8,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,16,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,32,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,64,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,128,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,256,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,512,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,1024,Yes,,,,,,,,
pfp_bloom_filter_add_unique_size_u32,0,NVIDIA B200,I64,U32,32,1,2,1,1000000000,2048,Yes,,,,,,,,
