Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,PatternBits,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,1,No,0.00092654,16,12,0.042903345333333336,0.0005219036075260843,0.042885717391967774,0.0005258434728190684,23317786452.309498,13,0.042896699465238136
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,2,No,0.000912799,16,12,0.042925050250000006,0.00086217942792429,0.042906026840209964,0.0008520550849997719,23306749043.070015,13,0.04285314031747671
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,4,No,0.000920537,16,12,0.043239469583333336,0.005207275018642034,0.04322133286794027,0.005193829777469267,23136722855.249035,13,0.04306668120164137
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,8,No,0.000915209,16,12,0.043343208166666675,0.0015249078270865607,0.04332407474517822,0.0015037145382672751,23081854739.697483,13,0.04323894911545974
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,16,No,0.000920643,16,12,0.04413470675,0.002599283973151729,0.04411613877614339,0.002608409300163578,22667441615.28407,13,0.04403940494243915
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,32,No,0.00092189,16,11,0.04768204681818182,0.005104621269283619,0.047662638230757275,0.005101775812826626,20980794121.352013,12,0.04729813321431478
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,64,No,0.000914629,16,11,0.0668269820909091,0.030165329307274655,0.06680808812921697,0.030163599284555833,14968247528.141329,12,0.06529825973510742
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,128,No,0.00089505,16,11,0.07732350981818183,0.026661664304845175,0.07730427343195134,0.026648202968507444,12935895463.531784,12,0.07604317855834962
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,256,No,0.000869049,16,11,0.0798718170909091,0.0007746648062746082,0.07985300861705433,0.0007770915976587127,12523009681.396381,12,0.07983573468526203
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,512,No,0.000803748,16,11,0.07993615190909091,0.02826583711717383,0.07991845148259943,0.02827006763290794,12512754957.692455,12,0.078827605565389
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,1024,No,0.000680026,16,11,0.07960437254545455,0.03949293186524497,0.07958574468439275,0.03949588547369787,12565064308.509336,12,0.07768789354960123
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,2048,No,0.000429538,16,11,0.08012573745454545,0.04049500928197667,0.08010779848965731,0.04049781175342907,12483179151.766474,12,0.07824836349487305
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,1,No,0.226815236,2,12,0.04428831016666667,0.0035501404711194284,0.044271530787150064,0.0035617346348675396,22587879438.997234,13,0.04414077993539664
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,2,No,0.226328884,2,12,0.04433553641666666,0.003000338392350991,0.04431931781768798,0.0029864298289619087,22563524197.588097,13,0.04415243882399338
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,4,No,0.225303361,2,12,0.044346358499999995,0.0030316206636305113,0.04433015473683675,0.0030187668943231086,22558008333.975796,13,0.04415968469473031
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,8,No,0.223457592,2,12,0.044360420000000005,0.0030473666868569022,0.044344235102335615,0.003040332801564788,22550845621.584076,13,0.04417268136831431
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,16,No,0.219631814,2,11,0.04557519536363636,0.006445658977380022,0.04555897001786666,0.0064331285619158565,21949574356.220837,12,0.045447593688964845
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,32,No,0.212018847,2,11,0.053360436636363646,0.014755371849103633,0.05334230110862038,0.014760286989246278,18746847796.53038,12,0.052507905324300136
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,64,No,0.196772504,2,11,0.06392629027272728,0.02995248990693785,0.06391007440740411,0.02994702859084017,15646985381.76241,12,0.06222071361541748
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,128,No,0.166252252,2,11,0.07220491636363637,0.036086756763641606,0.07218892739035866,0.03609240182398792,13852539941.375511,12,0.07054916254679362
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,256,No,0.105252505,2,11,0.077026937,0.03530627201403156,0.07701112989945846,0.035305821817175925,12985136061.573769,12,0.07547127469380696
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,512,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,1024,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,2048,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,1,No,3.6264e-05,32,11,0.1670903340909091,0.003340147895735424,0.16707258189808238,0.0033403631286301632,5985422554.911015,12,0.1686057815551758
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,2,No,3.794e-05,32,11,0.16862633445454547,0.00015596128962089945,0.16860904624245385,0.00015471150648810734,5930879880.324068,12,0.16860014470418297
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,4,No,3.885e-05,32,11,0.16862982136363638,0.00014836225602589,0.16861119218306106,0.00014837289219858242,5930804397.10254,12,0.1686004015604655
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,8,No,3.9456e-05,32,11,0.16863603963636367,0.00015223609565101766,0.16862059298428622,0.000152173932916749,5930473747.61154,12,0.16861055882771805
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,16,No,3.9747e-05,32,11,0.1707198002727273,0.00452150437380326,0.1707043387673118,0.00451881335128842,5858081916.494849,12,0.17111236190795898
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,32,No,4.0276e-05,32,11,0.1759284409090909,0.00024383045351112349,0.1759116543856534,0.00024391310291001925,5684671680.7499695,12,0.17589930470784507
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,64,No,4.0482e-05,32,11,0.17803570509090913,0.0011879055916951841,0.17801970048384233,0.0011865355251399776,5617355816.699418,12,0.17809442520141602
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,128,No,4.0731e-05,32,11,0.17821274836363635,6.679249345830488e-05,0.17819601579145952,6.31252500365717e-05,5611797747.320496,12,0.17819033686319985
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,256,No,3.9366e-05,32,11,0.18026587472727276,0.00032491248852837683,0.18024950755726207,0.00032253106291102413,5547865364.804493,12,0.18023108418782552
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,512,No,3.8429e-05,32,11,0.1802938755454546,0.00035746533399741567,0.1802769706032493,0.0003567188001472679,5547020213.695426,12,0.18025583267211917
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,1024,No,3.5761e-05,32,11,0.18030759436363636,0.00038615669465177026,0.18029139709472652,0.0003847830882196037,5546576354.248296,12,0.18026837539672855
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,2048,No,3.0273e-05,32,11,0.18042034690909092,0.00231333201397665,0.1804033896706321,0.002311475107517614,5543133096.477456,12,0.18027502950032556
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,1,No,0.033122905,4,11,0.09854451745454545,0.0026731008042923583,0.09852844238281251,0.00266549241100872,10149353585.78694,12,0.09837200927734374
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,2,No,0.033049174,4,11,0.09852095745454546,0.0024721724370106437,0.09850461023504085,0.0024676888496416322,10151809114.455761,12,0.09837619209289551
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,4,No,0.033000798,4,11,0.09853066272727272,0.0024937497003342636,0.09851429263028232,0.0024934603341467774,10150811352.347973,12,0.09838489596048992
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,8,No,0.032879119,4,11,0.09868768845454547,0.005503996791622122,0.09867161698774861,0.0054957280053769915,10134626658.891819,12,0.09840358352661133
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,16,No,0.032602182,4,11,0.10094422663636365,0.0044533206588850014,0.10092776697332209,0.0044446303308499765,9908076141.864178,12,0.1006989657084147
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,32,No,0.032037499,4,11,0.10700268409090909,0.0034040454470626127,0.10698575175892223,0.0033990238471965696,9347039054.820713,12,0.10686865043640136
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,64,No,0.030937448,4,11,0.11037305281818183,0.004210830750453398,0.110356294111772,0.004210656105995113,9061558364.647253,12,0.11020782725016276
