Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,NumInputs,FilterSizeMB,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,1,No,14,0.03714470542857142,0.0033221449424528406,0.03712855775015694,0.003323970098066306,26933445859.36072,15,0.03711795043945312
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,2,No,14,0.0371849105,0.0013757110523639016,0.03716790853227887,0.0013706884577498607,26904930610.543747,15,0.03715959548950195
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,4,No,14,0.037202301214285714,0.0010830875152430509,0.037185609272548124,0.0010684067018157336,26892123581.211273,15,0.037171610768636065
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,8,No,14,0.037218784571428576,0.0011781475907418158,0.03720206614903041,0.0011782833011529735,26880227458.174732,15,0.03716416982014974
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,16,No,14,0.03808950685714286,0.0022445017992239625,0.03807341711861746,0.0022353360716581123,26265044634.278744,15,0.03802084630330404
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,32,No,12,0.042580915500000004,0.013215186375065888,0.04256401030222575,0.013204408346003726,23494026829.227325,13,0.04217635404146635
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,64,No,11,0.05891240590909091,0.04913244234359233,0.05889601204612038,0.049132896519842144,16979078298.491898,12,0.05760716597239177
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,128,No,11,0.07110421300000001,0.032293767206663125,0.0710890586159446,0.032293493645469275,14066862319.874771,12,0.07019511477152507
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,256,No,11,0.0755497991818182,0.010131056428277383,0.0755327543778853,0.010131049748577653,13239289474.29968,12,0.07522884178161622
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,512,No,11,0.0776952291818182,0.01072102716291487,0.07767933724143289,0.010723497491761179,12873436302.525717,12,0.07742899131774904
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,1024,No,11,0.07883789345454546,0.01111531219830208,0.07882146870006214,0.011118546094414384,12686898842.310099,12,0.07869542376200359
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,64,16,1000000000,2048,No,11,0.07968517627272727,0.017341024711532375,0.07966915408047763,0.017348213287166927,12551909349.882793,12,0.07903624471028646
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,1,No,13,0.039942483,0.006141164456438186,0.03992646877582257,0.006132935379072607,25046041652.58784,14,0.03974597358703613
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,2,No,13,0.039896756461538466,0.004215663659334772,0.03987999549278846,0.004198389710268129,25075228511.017036,14,0.039767480032784595
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,4,No,13,0.03991124530769231,0.004256956060601976,0.039895118713378905,0.004222110060641692,25065723132.305107,14,0.03978057343619211
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,8,No,13,0.0399200736923077,0.004148914739239083,0.039903231694148146,0.004128514917349763,25060626860.120983,14,0.03978795869009836
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,16,No,13,0.04072340261538462,0.006500979609922048,0.04070762340839093,0.006491086915820212,24565423286.14235,14,0.04052882303510393
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,32,No,11,0.046989304727272724,0.021624967160459637,0.04697255533391778,0.021626686137568605,21289027026.33943,12,0.04637764326731364
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,64,No,11,0.05823900409090909,0.03444743607134825,0.05822240586714311,0.034449649725200086,17175518343.94968,12,0.057349460283915195
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,128,No,11,0.06681360354545454,0.03373697695246621,0.06679700886119497,0.033737239627385784,14970730232.517038,12,0.06608273124694823
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,256,No,11,0.07150170581818183,0.023332083636091076,0.0714859057339755,0.02333919311872192,13988771489.045073,12,0.07096908760070801
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,512,No,11,0.07402740763636363,0.01992029308509821,0.0740114614313299,0.01992095115098217,13511420807.81408,12,0.07355298105875653
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,1024,No,11,0.07530724536363637,0.01812253697024819,0.07529062513871626,0.018124531088531966,13281866077.716703,12,0.07486285018920898
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,1,1000000000,2048,No,11,0.07603682845454546,0.020173651604238473,0.07602064236727629,0.020180172558015422,13154321890.2141,12,0.07554449081420898
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,1,No,11,0.16609963790909096,0.00041983144260723365,0.16608292735706678,0.000420057287967686,6021088476.180754,12,0.1660480842590332
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,2,No,11,0.16607696318181822,9.279725924432524e-05,0.1660616149902344,9.134228561023545e-05,6021861223.370658,12,0.16605457305908203
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,4,No,11,0.16608195200000003,9.079157522047672e-05,0.16606533397327772,8.97945182341193e-05,6021726365.605685,12,0.1660581525166829
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,8,No,11,0.16608454890909094,8.520826876432963e-05,0.16606850641424004,8.562556747445283e-05,6021611331.323758,12,0.16608042526245118
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,16,No,11,0.166817277,0.002760417511822801,0.16680085199529476,0.0027600545102157105,5995173214.272363,12,0.1676556803385417
